drifter_id,horizon_days,release_time,n_hourly_fixes,track_span_days,advection_km,persistence_km,paired_diff_adv_minus_pers_km
300234068545440,1,2022-07-03T16:00:00,552,28.29,16.0,16.0,-0.0
300234068546010,1,2022-07-01T00:00:00,191,7.92,5.84,0.35,5.49
300234068546010,3,2022-07-01T00:00:00,191,7.92,14.52,1.15,13.36
300234068546010,7,2022-07-01T00:00:00,191,7.92,55.16,5.6,49.55
300234068546030,1,2022-07-01T00:00:00,744,30.96,15.92,5.84,10.08
300234068546030,3,2022-07-01T00:00:00,744,30.96,16.48,21.45,-4.96
300234068546030,7,2022-07-01T00:00:00,744,30.96,48.96,45.24,3.72
300234068546030,14,2022-07-01T00:00:00,744,30.96,112.02,63.82,48.2
300234068546110,1,2022-07-01T00:00:00,727,30.96,13.57,3.44,10.13
300234068546110,3,2022-07-01T00:00:00,727,30.96,29.32,7.69,21.63
300234068546110,7,2022-07-01T00:00:00,727,30.96,54.96,22.32,32.64
300234068546110,14,2022-07-01T00:00:00,727,30.96,79.7,46.43,33.27
300234068546210,1,2022-07-28T10:00:00,86,3.54,19.23,19.23,0.0
300234068546210,3,2022-07-28T10:00:00,86,3.54,40.33,40.33,0.0
300234068547210,1,2022-07-01T00:00:00,227,9.42,11.75,9.48,2.27
300234068547210,3,2022-07-01T00:00:00,227,9.42,35.74,32.15,3.6
300234068547210,7,2022-07-01T00:00:00,227,9.42,68.76,81.28,-12.53
300234068548440,1,2022-07-01T00:00:00,744,30.96,3.07,15.06,-11.99
300234068548440,3,2022-07-01T00:00:00,744,30.96,4.66,28.83,-24.17
300234068548440,7,2022-07-01T00:00:00,744,30.96,26.84,53.74,-26.9
300234068548440,14,2022-07-01T00:00:00,744,30.96,35.66,105.96,-70.3
300234068549010,1,2022-07-18T13:00:00,313,13.42,5.36,5.36,-0.0
300234068549010,3,2022-07-18T13:00:00,313,13.42,17.95,17.95,-0.0
300234068549010,7,2022-07-18T13:00:00,313,13.42,57.94,57.94,-0.0
300234068549040,1,2022-07-01T00:00:00,744,30.96,4.76,4.42,0.34
300234068549040,3,2022-07-01T00:00:00,744,30.96,17.86,7.01,10.85
300234068549040,7,2022-07-01T00:00:00,744,30.96,76.58,21.4,55.17
300234068549040,14,2022-07-01T00:00:00,744,30.96,117.21,36.58,80.63
300234068549200,1,2022-07-01T00:00:00,167,6.92,14.05,8.07,5.99
300234068549200,3,2022-07-01T00:00:00,167,6.92,41.51,30.09,11.43
300234068549440,1,2022-07-01T00:00:00,706,30.96,14.02,8.29,5.73
300234068549440,3,2022-07-01T00:00:00,706,30.96,46.1,33.21,12.89
300234068641080,1,2022-07-01T00:00:00,727,30.96,9.16,7.58,1.58
300234068641080,3,2022-07-01T00:00:00,727,30.96,40.29,38.38,1.9
300234068641080,7,2022-07-01T00:00:00,727,30.96,65.85,98.16,-32.31
300234068641080,14,2022-07-01T00:00:00,727,30.96,47.32,92.19,-44.87
300234068644080,1,2022-07-01T00:00:00,232,26.46,5.68,28.65,-22.97
300234068644080,3,2022-07-01T00:00:00,232,26.46,34.76,90.84,-56.08
300234068941670,1,2022-07-01T00:00:00,101,4.17,19.33,19.01,0.32
300234068941670,3,2022-07-01T00:00:00,101,4.17,38.13,29.15,8.98
300234068941760,1,2022-07-01T00:00:00,487,26.04,23.83,18.28,5.55
300234068941760,3,2022-07-01T00:00:00,487,26.04,53.38,28.49,24.9
300234068941760,7,2022-07-01T00:00:00,487,26.04,83.84,55.78,28.05
300234068941760,14,2022-07-01T00:00:00,487,26.04,199.7,129.99,69.71
300234068941880,1,2022-07-12T18:00:00,377,19.21,17.06,17.06,0.0
300234068941880,3,2022-07-12T18:00:00,377,19.21,59.18,59.18,-0.0
300234068941880,7,2022-07-12T18:00:00,377,19.21,135.26,135.26,-0.0
300234068941880,14,2022-07-12T18:00:00,377,19.21,155.76,201.54,-45.78
300534061494110,1,2022-07-01T00:00:00,744,30.96,0.33,5.79,-5.46
300534061494110,3,2022-07-01T00:00:00,744,30.96,18.52,12.73,5.79
300534061494110,7,2022-07-01T00:00:00,744,30.96,81.74,41.79,39.95
300534061494110,14,2022-07-01T00:00:00,744,30.96,104.9,56.49,48.41
300534061494380,1,2022-07-01T00:00:00,682,30.96,12.23,15.45,-3.21
300534061494380,3,2022-07-01T00:00:00,682,30.96,18.24,43.88,-25.64
300534061494380,7,2022-07-01T00:00:00,682,30.96,20.59,80.37,-59.78
300534061494380,14,2022-07-01T00:00:00,682,30.96,17.82,105.51,-87.69
300534061495030,1,2022-07-01T00:00:00,697,30.96,6.02,19.97,-13.94
300534061495030,3,2022-07-01T00:00:00,697,30.96,25.18,36.85,-11.68
300534061495030,7,2022-07-01T00:00:00,697,30.96,85.03,44.07,40.96
300534061495030,14,2022-07-01T00:00:00,697,30.96,18.36,138.76,-120.4
300534061495060,1,2022-07-01T00:00:00,497,20.67,5.35,7.09,-1.74
300534061495060,3,2022-07-01T00:00:00,497,20.67,34.06,18.82,15.24
300534061495060,7,2022-07-01T00:00:00,497,20.67,89.5,34.41,55.09
300534061495060,14,2022-07-01T00:00:00,497,20.67,131.16,55.42,75.74
300534061700370,1,2022-07-01T00:00:00,744,30.96,5.9,9.72,-3.82
300534061700370,3,2022-07-01T00:00:00,744,30.96,20.2,21.07,-0.86
300534061700370,7,2022-07-01T00:00:00,744,30.96,42.4,37.09,5.31
300534061700370,14,2022-07-01T00:00:00,744,30.96,88.4,53.64,34.76
